,AEROBIC_S,DAILY_FV,SPH_GOOD ,DAILY_SMOKE,HEAVY_DRINKING ,AIR_POLL,CULT_ACTIVITIES,FRIENDS_MEET,GR_WORK,CHOOSE_WORK 
AEROBIC_S,1.0333333333333332,0.08730361238131316,0.23233797662431943,-0.7167657427855081,0.6038177395279721,-0.5656651291175585,0.8675110647004511,0.5623352334931425,0.19773976713286437,0.5699978551159859
DAILY_FV,0.08730361238131316,1.0333333333333337,-0.20012184181802173,0.0900613698850096,-0.2968323182481883,0.02912727144634457,-0.0320569641804746,0.25281267349629627,-0.21303419680969696,-0.21907446467299344
SPH_GOOD ,0.23233797662431943,-0.20012184181802173,1.0333333333333334,-0.31694904919762606,0.1425528121204098,-0.1294142153415022,0.16890382116225724,0.2594931078326128,-0.1407601777697586,0.499282974878846
DAILY_SMOKE,-0.7167657427855081,0.0900613698850096,-0.31694904919762606,1.0333333333333332,-0.5920627842052374,0.6539906372027006,-0.7146007022127533,-0.43629065092238517,-0.043447282143891375,-0.5953705088869242
HEAVY_DRINKING ,0.6038177395279721,-0.2968323182481883,0.1425528121204098,-0.5920627842052374,1.0333333333333332,-0.27477518072512014,0.6687763187509104,-0.0732375306428772,0.03409342858752442,0.6755349774729976
AIR_POLL,-0.5656651291175585,0.02912727144634457,-0.1294142153415022,0.6539906372027006,-0.27477518072512014,1.0333333333333334,-0.5952415612716206,-0.5701235633317663,-0.34454015874974475,-0.48912722472678954
CULT_ACTIVITIES,0.8675110647004511,-0.0320569641804746,0.16890382116225724,-0.7146007022127533,0.6687763187509104,-0.5952415612716206,1.033333333333333,0.5462639135893728,0.05336134504246286,0.5893226848486295
FRIENDS_MEET,0.5623352334931425,0.25281267349629627,0.2594931078326128,-0.43629065092238517,-0.0732375306428772,-0.5701235633317663,0.5462639135893728,1.033333333333333,0.14151598148112035,0.22946033733878407
GR_WORK,0.19773976713286437,-0.21303419680969696,-0.1407601777697586,-0.043447282143891375,0.03409342858752442,-0.34454015874974475,0.05336134504246286,0.14151598148112035,1.0333333333333328,-0.0073034323388132885
CHOOSE_WORK ,0.5699978551159859,-0.21907446467299344,0.499282974878846,-0.5953705088869242,0.6755349774729976,-0.48912722472678954,0.5893226848486295,0.22946033733878407,-0.0073034323388132885,1.0333333333333332
